movieId,title,nb_notes,note_moyenne
350,"Client, The (1994)",57,3.39
316,Stargate (1994),140,3.38
2706,American Pie (1999),103,3.38
2012,Back to the Future Part III (1990),88,3.37
1573,Face/Off (1997),77,3.37
2985,RoboCop (1987),70,3.37
2167,Blade (1998),58,3.36
3489,Hook (1991),53,3.36
45499,X-Men: The Last Stand (2006),52,3.36
6365,"Matrix Reloaded, The (2003)",96,3.35
48385,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),65,3.35
2657,"Rocky Horror Picture Show, The (1975)",63,3.34
1608,Air Force One (1997),58,3.34
4370,A.I. Artificial Intelligence (2001),56,3.34
2105,Tron (1982),50,3.34
1676,Starship Troopers (1997),80,3.33
736,Twister (1996),123,3.32
6373,Bruce Almighty (2003),71,3.32
1101,Top Gun (1986),83,3.3
39,Clueless (1995),104,3.29
33679,Mr. & Mrs. Smith (2005),59,3.28
5299,My Big Fat Greek Wedding (2002),60,3.27
552,"Three Musketeers, The (1993)",61,3.26
2302,My Cousin Vinny (1992),59,3.26
3,Grumpier Old Men (1995),52,3.26
145,Bad Boys (1995),51,3.25
288,Natural Born Killers (1994),92,3.23
3717,Gone in 60 Seconds (2000),61,3.22
2683,Austin Powers: The Spy Who Shagged Me (1999),121,3.2
317,"Santa Clause, The (1994)",81,3.2
1407,Scream (1996),70,3.2
7,Sabrina (1995),54,3.19
367,"Mask, The (1994)",157,3.18
2470,Crocodile Dundee (1986),57,3.18
5502,Signs (2002),63,3.17
5378,Star Wars: Episode II - Attack of the Clones (2002),92,3.16
4447,Legally Blonde (2001),64,3.16
6934,"Matrix Revolutions, The (2003)",79,3.15
48,Pocahontas (1995),68,3.15
34048,War of the Worlds (2005),50,3.15
1380,Grease (1978),68,3.14
4018,What Women Want (2000),54,3.14
520,Robin Hood: Men in Tights (1993),69,3.13
2617,"Mummy, The (1999)",87,3.12
2100,Splash (1984),51,3.12
2424,You've Got Mail (1998),50,3.12
2628,Star Wars: Episode I - The Phantom Menace (1999),140,3.11
786,Eraser (1996),64,3.11
410,Addams Family Values (1993),84,3.1
2006,"Mask of Zorro, The (1998)",60,3.1
1391,Mars Attacks! (1996),86,3.09
442,Demolition Man (1993),81,3.09
653,Dragonheart (1996),65,3.09
168,First Knight (1995),54,3.08
231,Dumb & Dumber (Dumb and Dumber) (1994),133,3.06
370,Naked Gun 33 1/3: The Final Insult (1994),58,3.06
1917,Armageddon (1998),92,3.05
4025,Miss Congeniality (2000),64,3.05
8361,"Day After Tomorrow, The (2004)",50,3.05
344,Ace Ventura: Pet Detective (1994),161,3.04
185,"Net, The (1995)",112,3.04
434,Cliffhanger (1993),101,3.03
1485,Liar Liar (1997),74,3.03
1377,Batman Returns (1992),60,3.03
1552,Con Air (1997),59,3.03
95,Broken Arrow (1996),84,3.02
586,Home Alone (1990),116,3.0
30793,Charlie and the Chocolate Factory (2005),61,3.0
5459,Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),61,2.96
485,Last Action Hero (1993),53,2.93
153,Batman Forever (1995),137,2.92
3785,Scary Movie (2000),50,2.92
208,Waterworld (1995),115,2.91
160,Congo (1995),57,2.88
466,Hot Shots! Part Deux (1993),60,2.87
5481,Austin Powers in Goldmember (2002),65,2.85
158,Casper (1995),62,2.81
784,"Cable Guy, The (1996)",54,2.81
2699,Arachnophobia (1990),53,2.81
2710,"Blair Witch Project, The (1999)",64,2.8
2054,"Honey, I Shrunk the Kids (1989)",68,2.76
1544,"Lost World: Jurassic Park, The (1997)",67,2.75
19,Ace Ventura: When Nature Calls (1995),88,2.73
788,"Nutty Professor, The (1996)",82,2.73
3977,Charlie's Angels (2000),72,2.72
420,Beverly Hills Cop III (1994),59,2.72
3623,Mission: Impossible II (2000),77,2.71
673,Space Jam (1996),53,2.71
172,Johnny Mnemonic (1995),53,2.68
173,Judge Dredd (1995),62,2.67
432,City Slickers II: The Legend of Curly's Gold (1994),55,2.65
435,Coneheads (1993),63,2.42
2701,Wild Wild West (1999),53,2.21
